threshold,p.value,estimate,data_type,corpus
0.83,0.00,-0.152,actual,French
0.84,0.00,-0.152,actual,French
0.85,0.00,-0.152,actual,French
0.86,0.00,-0.152,actual,French
0.87,0.00,-0.152,actual,French
0.88,0.00,-0.152,actual,French
0.89,0.00,-0.152,actual,French
0.9,0.00,-0.152,actual,French
0.91,0.00,-0.152,actual,French
0.92,0.00,-0.152,actual,French
0.93,0.00,-0.152,actual,French
0.94,0.00,-0.152,actual,French
0.95,0.00,-0.152,actual,French
0.96,0.00,-0.152,actual,French
0.97,0.00,-0.152,actual,French
0.98,0.00,-0.152,actual,French
0.99,0.00,-0.151,actual,French
1,0.00,-0.151,actual,French
0.01,  NA,    NA,target,English
0.02,0.00,-0.189,target,English
0.03,0.00,-0.111,target,English
0.04,0.03,-0.070,target,English
0.05,0.03,-0.066,target,English
0.06,0.04,-0.060,target,English
0.07,0.06,-0.056,target,English
0.08,0.06,-0.053,target,English
0.09,0.00,-0.077,target,English
0.1,0.00,-0.089,target,English
0.11,0.00,-0.140,target,English
0.12,0.00,-0.170,target,English
0.13,0.00,-0.196,target,English
0.14,0.00,-0.196,target,English
0.15,0.00,-0.195,target,English
0.16,0.00,-0.192,target,English
0.17,0.00,-0.180,target,English
0.18,0.00,-0.175,target,English
0.19,0.00,-0.173,target,English
0.2,0.00,-0.175,target,English
0.21,0.00,-0.187,target,English
0.22,0.00,-0.195,target,English
0.23,0.00,-0.210,target,English
0.24,0.00,-0.219,target,English
0.25,0.00,-0.227,target,English
0.26,0.00,-0.225,target,English
0.27,0.00,-0.230,target,English
0.28,0.00,-0.232,target,English
0.29,0.00,-0.234,target,English
0.3,0.00,-0.235,target,English
0.31,0.00,-0.235,target,English
0.32,0.00,-0.243,target,English
0.33,0.00,-0.252,target,English
0.34,0.00,-0.264,target,English
0.35,0.00,-0.273,target,English
0.36,0.00,-0.282,target,English
0.37,0.00,-0.288,target,English
0.38,0.00,-0.292,target,English
0.39,0.00,-0.298,target,English
0.4,0.00,-0.303,target,English
0.41,0.00,-0.306,target,English
0.42,0.00,-0.308,target,English
0.43,0.00,-0.312,target,English
0.44,0.00,-0.318,target,English
0.45,0.00,-0.324,target,English
0.46,0.00,-0.328,target,English
0.47,0.00,-0.333,target,English
0.48,0.00,-0.338,target,English
0.49,0.00,-0.341,target,English
0.5,0.00,-0.342,target,English
0.51,0.00,-0.343,target,English
0.52,0.00,-0.340,target,English
0.53,0.00,-0.338,target,English
0.54,0.00,-0.337,target,English
0.55,0.00,-0.336,target,English
0.56,0.00,-0.336,target,English
0.57,0.00,-0.336,target,English
0.58,0.00,-0.336,target,English
0.59,0.00,-0.335,target,English
0.6,0.00,-0.335,target,English
0.61,0.00,-0.334,target,English
0.62,0.00,-0.332,target,English
0.63,0.00,-0.330,target,English
0.64,0.00,-0.328,target,English
0.65,0.00,-0.327,target,English
0.66,0.00,-0.326,target,English
0.67,0.00,-0.325,target,English
0.68,0.00,-0.324,target,English
0.69,0.00,-0.322,target,English
0.7,0.00,-0.321,target,English
0.71,0.00,-0.320,target,English
0.72,0.00,-0.319,target,English
0.73,0.00,-0.318,target,English
0.74,0.00,-0.317,target,English
0.75,0.00,-0.316,target,English
0.76,0.00,-0.315,target,English
0.77,0.00,-0.314,target,English
0.78,0.00,-0.314,target,English
0.79,0.00,-0.313,target,English
0.8,0.00,-0.313,target,English
0.81,0.00,-0.313,target,English
