corpus,data_type,mean_dist,sd_dist,med_dist,Q1
English,actual,0.3107262190966786,0.11579832232325737,0.30375216019058976,0.1949278967734212
English,target,0.3690448684200624,0.13085181285906758,0.36385284050438216,0.23819305556099482
French,actual,0.2947622089613576,0.1168882164596764,0.2878644360817366,0.17787399250168118
French,target,0.37353561952483483,0.1310474045452783,0.36618268061677434,0.24248821497955653
all,all,0.3362682434191626,0.12736069257291846,0.3287583602411134,0.20890755084624416
