threshold,unconnected words,rho,estimate_INT_scaled,p.value_INT_scaled,95% CI_INT_scaled,estimate_EXT_scaled_target,p.value_EXT_scaled_target,95% CI_EXT_scaled_target
0.15,388,-0.1843684066519082,0.65,<0.001,"[0.44,0.86]",1.97,<0.001,"[0.88,3.05]"
0.18,298,-0.17409096975330285,0.6,<0.001,"[0.39,0.8]",0.59,0.056,"[-0.01,1.2]"
0.19,269,-0.1710634993828941,0.57,<0.001,"[0.37,0.78]",0.48,0.089,"[-0.07,1.02]"
0.21,179,-0.18824612280292013,0.64,<0.001,"[0.44,0.85]",0.09,0.685,"[-0.35,0.53]"
0.24,74,-0.2108516720047591,0.64,<0.001,"[0.43,0.86]",-0.07,0.655,"[-0.39,0.24]"
0.34,7,-0.2491112383170139,0.76,<0.001,"[0.52,1]",-0.05,0.584,"[-0.24,0.13]"
0.5,0,-0.28880855652668447,0.58,<0.001,"[0.28,0.88]",0.06,0.478,"[-0.11,0.23]"
