corpus,data_type,mean_dist,sd_dist,med_dist,Q1
English,actual,0.3158301171362506,0.116396725029031,0.30872910518199814,0.19943339210721958
English,target,0.3792162741568343,0.13292783202963868,0.3741469450418493,0.2462884421271956
French,actual,0.3060483786305172,0.12186843107504276,0.2994994499633657,0.18417994755547445
French,target,0.3773574529828931,0.129525606555407,0.3702450432668896,0.24783184642748607
all,all,0.3453370804814445,0.12939510510744207,0.3377536528464074,0.21594197537400245
