threshold,p.value,estimate,data_type,corpus
0.83,0.32,-0.028,actual,French
0.84,0.32,-0.028,actual,French
0.85,0.32,-0.028,actual,French
0.86,0.32,-0.028,actual,French
0.87,0.32,-0.028,actual,French
0.88,0.32,-0.028,actual,French
0.89,0.32,-0.028,actual,French
0.9,0.32,-0.028,actual,French
0.91,0.32,-0.028,actual,French
0.92,0.32,-0.028,actual,French
0.93,0.32,-0.028,actual,French
0.94,0.32,-0.028,actual,French
0.95,0.32,-0.028,actual,French
0.96,0.32,-0.028,actual,French
0.97,0.32,-0.028,actual,French
0.98,0.32,-0.028,actual,French
0.99,0.32,-0.028,actual,French
1,0.32,-0.028,actual,French
0.01,  NA,    NA,target,English
0.02,0.11,-0.058,target,English
0.03,0.69,-0.014,target,English
0.04,0.30, 0.034,target,English
0.05,0.25, 0.036,target,English
0.06,0.14, 0.043,target,English
0.07,0.16, 0.041,target,English
0.08,0.29, 0.030,target,English
0.09,0.39, 0.023,target,English
0.1,0.50, 0.018,target,English
0.11,0.45,-0.019,target,English
0.12,0.72,-0.009,target,English
0.13,0.65,-0.011,target,English
0.14,0.55,-0.014,target,English
0.15,0.56,-0.014,target,English
0.16,0.76,-0.007,target,English
0.17,0.74,-0.008,target,English
0.18,0.93,-0.002,target,English
0.19,0.98,-0.001,target,English
0.2,0.87,-0.004,target,English
0.21,1.00, 0.000,target,English
0.22,0.92, 0.002,target,English
0.23,0.79, 0.006,target,English
0.24,0.82, 0.005,target,English
0.25,0.84, 0.004,target,English
0.26,0.82, 0.005,target,English
0.27,0.98, 0.001,target,English
0.28,0.95, 0.002,target,English
0.29,0.87, 0.004,target,English
0.3,0.82, 0.005,target,English
0.31,0.74, 0.007,target,English
0.32,0.73, 0.008,target,English
0.33,0.77, 0.006,target,English
0.34,0.82, 0.005,target,English
0.35,0.79, 0.006,target,English
0.36,0.81, 0.005,target,English
0.37,0.87, 0.004,target,English
0.38,0.89, 0.003,target,English
0.39,0.97, 0.001,target,English
0.4,0.92, 0.002,target,English
0.41,0.90, 0.003,target,English
0.42,0.86, 0.004,target,English
0.43,0.87, 0.004,target,English
0.44,0.91, 0.003,target,English
0.45,0.98, 0.000,target,English
0.46,0.99, 0.000,target,English
0.47,0.99, 0.000,target,English
0.48,0.97,-0.001,target,English
0.49,0.92,-0.002,target,English
0.5,0.92,-0.002,target,English
0.51,0.94,-0.002,target,English
0.52,0.93,-0.002,target,English
0.53,0.89,-0.003,target,English
0.54,0.85,-0.004,target,English
0.55,0.85,-0.004,target,English
0.56,0.81,-0.005,target,English
0.57,0.78,-0.006,target,English
0.58,0.76,-0.007,target,English
0.59,0.74,-0.007,target,English
0.6,0.69,-0.009,target,English
0.61,0.63,-0.011,target,English
0.62,0.61,-0.011,target,English
0.63,0.60,-0.012,target,English
0.64,0.60,-0.012,target,English
0.65,0.60,-0.012,target,English
0.66,0.60,-0.012,target,English
